MEDICAL CONCEPT LABEL,MEDICAL CONCEPT ID
"cpt::1-stage distal hypospadias repair (with or without chordee or circumcision); with extensive dissection to correct chordee and urethroplasty with local skin flaps, skin graft patch, and/or island flap::54328::C3867625|C3867634|C3867630|C3867637|C3867639|C3867626|C3523096|C3867629|C3867624|C3867635|C0372471|C3867627|C3867631|C3867638|C3514769|C3867632|C3867640|C3867633|C3867623|C3867636|C3867628",0
"cpt::1-stage distal hypospadias repair (with or without chordee or circumcision); with simple meatal advancement (eg, magpi, v-flap)::54322::C3523087|C3867657|C3867655|C3523086|C3867658|C0372468|C3867656|C3867659|C3514764|C3523085|C3867660",1
"cpt::1-stage distal hypospadias repair (with or without chordee or circumcision); with urethroplasty by local skin flaps (eg, flip-flap, prepucial flap)::54324::C3867654|C3867649|C0372469|C3867644|C3523088|C3867646|C3867650|C3867653|C3867648|C3867651|C3514767|C3867647|C3867645|C3523089|C3523090|C3867652",2
cpt::1-stage distal hypospadias repair (with or without chordee or circumcision); with urethroplasty by local skin flaps and mobilization of urethra::54326::C3867641|C3867642|C3523092|C3523091|C0372470|C3514768|C3867643|C3523093,3
cpt::1-stage proximal penile or penoscrotal hypospadias repair requiring extensive dissection to correct chordee and urethroplasty by use of skin graft tube and/or island flap::54332::C3867617|C3867618|C3523104|C0372472|C3523099|C3523100|C3523102|C3867622|C3523105|C3867619|C3523106|C3514769|C3523101|C3867620|C3867621|C3867616,4
cpt::17-hydroxypregnenolone::84143::C0045008,5
"cpt::3d rendering with interpretation and reporting of computed tomography, magnetic resonance imaging, ultrasound, or other tomographic modality; not requiring image postprocessing on an independent workstation",6
"cpt::3d rendering with interpretation and reporting of computed tomography, magnetic resonance imaging, ultrasound, or other tomographic modality; requiring image postprocessing on an independent workstation",7
"cpt::Abdominal lymphadenectomy, regional, including celiac, gastric, portal, peripancreatic, with or without para-aortic and vena caval nodes (list separately in addition to code for primary procedure)::38747::C0371866|C3513875|C3521269|C3521270|C3867940|C3867941",8
cpt::Abdominal paracentesis (diagnostic or therapeutic); with imaging guidance::49083::C3522309|C3248109|C3514402|C3522308,9
cpt::Abdominal paracentesis (diagnostic or therapeutic); without imaging guidance::49082::C0687745|C3248108|C2057774|C3514401,10
"cpt::Abdomino-vaginal vesical neck suspension, with or without endoscopic control (eg, stamey, raz, modified pereyra)::51845::C3522853|C3514621|C0372382|C3867819|C2004623|C3867821|C3867820",11
"cpt::Ablation therapy for reduction or eradication of 1 or more pulmonary tumor(s) including pleura or chest wall when involved by tumor extension, percutaneous, radiofrequency, unilateral::32998::C3703178|C1737728|C3520457|C3520454|C3520456|C3520452|C3520453|C3520455",12
"cpt::Ablation, 1 or more liver tumor(s), percutaneous, radiofrequency::47382::C3703470|C0973302|C2052891",13
"cpt::Ablation, 1 or more renal tumor(s), percutaneous, unilateral, radiofrequency::50592::C3703546|C1611793|C3522668",14
"cpt::Ablation, bone tumor(s) (eg, osteoid osteoma, metastasis) radiofrequency, percutaneous, including computed tomographic guidance",15
"cpt::Ablation, one or more liver tumor(s), percutaneous, radiofrequency",16
"cpt::Ablation, open, 1 or more renal mass lesion(s), cryosurgical, including intraoperative ultrasound guidance and monitoring, if performed::50250::C3522506|C1610687|C3522507|C3703522",17
"cpt::Ablation, open, of 1 or more liver tumor(s); cryosurgical::47381::C0973301|C3522213|C3669289",18
"cpt::Ablation, open, of 1 or more liver tumor(s); radiofrequency::47380::C3669289|C2193588|C0973300",19
"cpt::Ablation, open, of one or more liver tumor(s); cryosurgical",20
"cpt::Ablation, open, of one or more liver tumor(s); radiofrequency",21
"cpt::Ablation, renal tumor(s), unilateral, percutaneous, cryotherapy::50593::C1610670|C3709285",22
"cpt::Ablation, soft tissue of inferior turbinates, unilateral or bilateral, any method (eg, electrocautery, radiofrequency ablation, or tissue volume reduction); intramural (ie, submucosal)::30802::C2724259|C3520117|C3513212|C3520118",23
"cpt::Ablation, soft tissue of inferior turbinates, unilateral or bilateral, any method (eg, electrocautery, radiofrequency ablation, or tissue volume reduction); superficial::30801::C3513212|C3520116|C3520115|C0371387",24
"cpt::Abrasion; single lesion (eg, keratosis, scar)::15786::C0580209|C3512043|C3705053|C0191447",25
"cpt::Acellular dermal allograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children",26
"cpt::Acetabuloplasty; (eg, whitman, colonna, haygroves, or cup type)::27120::C3707462|C3707463|C0186256|C3707464|C3707461",27
"cpt::Acetabuloplasty; resection, femoral head (eg, girdlestone procedure)::27122::C0186257",28
cpt::Acetaminophen,29
"cpt::Acetone or other ketone bodies, serum; qualitative",30
"cpt::Acetone or other ketone bodies, serum; quantitative",31
"cpt::Acne surgery (eg, marsupialization, opening or removal of multiple milia, comedones, cysts, pustules)::10040::C3704206|C3704199|C0191345|C3704201|C3704197|C3704205|C3704207|C3704202|C3704203|C3704198|C3704204|C3704200",32
"cpt::Acoustic immittance testing, includes tympanometry (impedance testing), acoustic reflex threshold testing, and acoustic reflex decay testing::92570::C2724352|C3516914",33
"cpt::Acoustic reflex testing, threshold::92568::C0456736|C3516913",34
"cpt::Acromioplasty or acromionectomy, partial, with or without coracoacromial ligament release::23130::C0186444|C0186688|C3706354|C0370854|C3706353|C3706352|C3706355|C3512454",35
cpt::Actinotherapy (ultraviolet light)::96900::C3517284|C0041626,36
cpt::Activated protein c (apc) resistance assay::85307::C0521311,37
cpt::Activity::T052,38
"cpt::Acupuncture, 1 or more needles; with electrical stimulation, each additional 15 minutes of personal one-on-one contact with the patient, with re-insertion of needle(s) (list separately in addition to code for primary procedure)::97814::C1510404|C3704126|C3527119",39
"cpt::Acupuncture, 1 or more needles; with electrical stimulation, initial 15 minutes of personal one-on-one contact with the patient::97813::C1504202|C3704125|C3527119",40
"cpt::Acupuncture, 1 or more needles; without electrical stimulation, each additional 15 minutes of personal one-on-one contact with the patient, with re-insertion of needle(s) (list separately in addition to code for primary procedure)::97811::C0394664|C1504203|C3702186",41
"cpt::Acupuncture, 1 or more needles; without electrical stimulation, initial 15 minutes of personal one-on-one contact with the patient::97810::C0394664|C3704124|C1504201",42
cpt::Acute gastrointestinal blood loss imaging::78278::C0203751|C3865899,43
"cpt::Acute hepatitis panel this panel must include the following: hepatitis a antibody (haab), igm antibody (86709) hepatitis b core antibody (hbcab), igm antibody (86705) hepatitis b surface antigen (hbsag) (87340) hepatitis c antibody (86803)::80074::C0373852|C0201477|C0812553|C1277836|C0201487",44
"cpt::Acute venous thrombosis imaging, peptide::78456::C0812551|C3516125",45
"cpt::Acylcarnitines; qualitative, each specimen::82016::C3525687|C3516284|C0695049",46
"cpt::Adenoidectomy, primary; age 12 or over::42831::C0193956|C3513986|C2094648",47
"cpt::Adenoidectomy, primary; younger than age 12::42830::C0193955|C3513985|C2094648",48
"cpt::Adenoidectomy, secondary; age 12 or over::42836::C0193958|C3513986|C2094649",49
"cpt::Adenoidectomy, secondary; younger than age 12::42835::C0193957|C2094649|C3513985",50
"cpt::Adjacent tissue transfer or rearrangement, any area; defect 30.1 sq cm to 60.0 sq cm::14301::C3517971|C3704837|C3702656|C2724389|C3517970|C3704838",51
"cpt::Adjacent tissue transfer or rearrangement, any area; each additional 30.0 sq cm, or part thereof (list separately in addition to code for primary procedure)::14302::C2724390|C3517971|C3704840|C3704839|C3517970|C3511993",52
"cpt::Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10 sq cm or less::14060::C3704821|C3517968|C3704828|C3704824|C3517964|C3517967|C3704825|C3704827|C3517962|C3704822|C3517969|C3517965|C3517963|C3704823|C0191617|C3511990|C3704826|C3517966",53
"cpt::Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10.1 sq cm to 30.0 sq cm::14061::C3702655|C3704835|C3517968|C3704830|C3517964|C3704832|C3704833|C3517967|C3704834|C3517962|C3704829|C3517969|C3517965|C0370505|C3704836|C3517963|C3704831|C3517966",54
"cpt::Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10 sq cm or less::14040::C3704791|C3704798|C3517955|C3517958|C3704786|C3517951|C3517953|C3517960|C3704792|C3704799|C3704795|C3517956|C3517948|C3704801|C3704788|C3704790|C3511988|C3517961|C3704797|C3704785|C3517950|C0370503|C3517957|C3704787|C3517952|C3517945|C3517946|C3517959|C3704800|C3517947|C3704793|C3517954|C3704794|C3704796|C3517949|C3704802|C3704789",55
"cpt::Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10.1 sq cm to 30.0 sq cm::14041::C3517955|C3704811|C3517958|C3517951|C3704804|C3517953|C3704813|C3704820|C3517960|C3704806|C3517956|C3704808|C3517948|C3704816|C3704809|C3517961|C3704814|C3517950|C3704810|C3517957|C3704817|C3517952|C3517945|C3704805|C3704803|C0370504|C3704818|C3704812|C3517946|C3702654|C3517959|C3704819|C3517947|C3704807|C3517954|C3517949|C3704815",56
"cpt::Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10 sq cm or less::14020::C3704771|C3704778|C3517944|C3704774|C3704776|C3704772|C3704775|C3704770|C3704777|C3517941|C3704773|C3704769|C0370501|C3511986",57
"cpt::Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10.1 sq cm to 30.0 sq cm::14021::C3704783|C3704778|C3517944|C3704779|C3704772|C0370502|C3704781|C3704784|C3704777|C3704780|C3517941|C3704773|C3704782|C3702653",58
"cpt::Adjacent tissue transfer or rearrangement, trunk; defect 10 sq cm or less::14000::C0191689|C3704766|C3517938|C3511984|C3517937|C3704765",59
"cpt::Adjacent tissue transfer or rearrangement, trunk; defect 10.1 sq cm to 30.0 sq cm::14001::C3704767|C3704768|C0370500|C3517938|C3702652|C3517937",60
"cpt::Adjustment or revision of external fixation system requiring anesthesia (eg, new pin[s] or wire[s] and/or new ring[s] or bar[s])::20693::C3518267|C3518268|C3705743|C3705745|C0370649|C3705744",61
"cpt::Adrenal imaging, cortex and/or medulla::78075::C3865947|C0373398|C3516091|C2094532|C2094533",62
"cpt::Adrenalectomy, partial or complete, or exploration of adrenal gland with or without biopsy, transabdominal, lumbar or dorsal (separate procedure)::1014228::C0372681",63
"cpt::Adrenalectomy, partial or complete, or exploration of adrenal gland with or without biopsy, transabdominal, lumbar or dorsal (separate procedure)::60540::C3703662|C3523511|C0193714|C0193708|C3523515|C0193706|C0193709|C0193713|C3523512|C0372681|C3523513|C3523514|C0193707|C3523516",64
"cpt::Adrenalectomy, partial or complete, or exploration of adrenal gland with or without biopsy, transabdominal, lumbar or dorsal (separate procedure); with excision of adjacent retroperitoneal tumor::60545::C3523522|C3523525|C3523518|C3703663|C3523520|C3523519|C3523527|C3523523|C3523528|C3523521|C3523524|C3523517|C3523526|C0372682",65
cpt::Adrenocorticotropic hormone (acth)::82024::C0201835,66
"cpt::Agglutinins, febrile (eg, brucella, francisella, murine typhus, q fever, rocky mountain spotted fever, scrub typhus), each antigen::86000::C1255264|C0373824|C3516419",67
cpt::Airway resistance by impulse oscillometry::94728::C3517156|C3248242,68
cpt::Albumin::1011249::C0201838,69
"cpt::Albumin; serum, plasma or whole blood::82040::C0523465|C3516286|C3525688|C3525689",70
"cpt::Albumin; urine or other source, quantitative, each specimen::82042::C1318429|C3516287|C0523466",71
"cpt::Albumin; urine, microalbumin, quantitative::82043::C3516288|C0373532|C0740086",72
cpt::Alcohol (ethanol); any specimen except breath,73
cpt::Aldolase::82085::C0201839,74
cpt::Aldosterone::82088::C0373535,75
cpt::Allergen specific ige::1011877::C0443736,76
"cpt::Allergen specific ige; quantitative or semiquantitative, each allergen::86003::C3516421|C0373825|C3525814|C3525813",77
"cpt::Allergen specific igg quantitative or semiquantitative, each allergen::86001::C3525811|C0918183|C3525812|C3516420",78
"cpt::Allograft, morselized, or placement of osteopromotive material, for spine surgery only (list separately in addition to code for primary procedure)::20930::C3705764|C3512194|C0186066|C0370657|C3705765",79
"cpt::Allograft, structural, for spine surgery only (list separately in addition to code for primary procedure)::20931::C3705766|C3512194|C0186066|C0370658",80
cpt::Alpha-1-antitrypsin; phenotype::82104::C0337433|C3516292|C3525692,81
cpt::Alpha-1-antitrypsin; total::82103::C3516292|C0373537,82
cpt::Alpha-fetoprotein (afp); serum::82105::C0546833,83
